Milestone	Epic	Labels	Status	Title	URL
2) MVP	Account Management	User Story	Backlog	As an administrator, I want to remove members from the *household* so that they no longer have access to the *household's* data.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/19
2) MVP	Account Management	User Story	Backlog	As an administrator, I want to assign the *administrator* role to other members so that they can assist in managing the *household*.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/20
2) MVP	Account Management	User Story	Backlog	As an administrator, I can only see the content of the *households*, I belong to so that the data of every *household* remains private.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/21
2) MVP	Account Management	User Story	Backlog	As a user, I can only see the content of the *households*, I belong to so that the data of every *household* remains private.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/31
2) MVP	Account Management	User Story	Backlog	As a user, I want to see an overview of all *household* members and their roles so that I am aware of who is in the *household* and their responsibilities.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/30
2) MVP	Account Management	User Story	Backlog	As a user, I want to see clear and informative error messages if I try to perform an unauthorized action so that I understand my limitations and next steps.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/29
2) MVP	Account Management	User Story	Backlog	As a user, I want to reset my credentials by generating a link sent to my email so that I can regain access if I forget my login credentials.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/28
2) MVP	Account Management	User Story	Backlog	As a user, I want to view and edit my email address so that it is always up to date.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/27
2) MVP	Account Management	User Story	Backlog	As a user, I want to log out of the app so that my account is secure when I'm not using it.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/26
2) MVP	Account Management	User Story	Backlog	As a user, I want to log in to the app using my credentials so that I can access my data and features.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/25
2) MVP	Account Management	User Story	Backlog	As a user, I want to change my credentials (password and username) so that my account remains secure.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/24
2) MVP	Account Management	User Story	Backlog	As a user, I want to create my account and set login credentials so that I can use the app securely.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/23
2) MVP	Account Management	User Story	Backlog	As a user, who belongs to multiple households, I need to select the corresponding household for every entity (Task, List, Project...), I create so that it is clear, who has access to that entity.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/22
2) MVP	Task Management	User Story	Backlog	As a user, I want to create tasks with a description, and priority so that I can stay organized and track them.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/34
2) MVP	Task Management	User Story	Backlog	As a user, I want tasks I have created and not yet assigned to anyone else to automatically be assigned to me so that I can efficiently manage them.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/35
2) MVP	Task Management	User Story	Backlog	As a user, I want to assign tasks to other members so that they know their responsibilities.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/36
2) MVP	Task Management	User Story	Backlog	As a user, I want to assign users as helpers to a task so that the person responsible can be assisted.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/37
2) MVP	Task Management	User Story	Backlog	As a user, I want to be able to configure a task as a recurring task so that I don't have to rewrite the same task over and over again.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/38
2) MVP	Task Management	User Story	Backlog	As a user, I want to configure the way a recurring task is repeated (frequency) so that the repetition runs automatically.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/39
2) MVP	Task Management	User Story	Backlog	As a user, I want to be able to deactivate or reactivate a recurring task so that it reflects the current state of tasks in the household.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/40
2) MVP	Task Management	User Story	Backlog	As a user, I want to be able to assign a deadline to non-recurring tasks so that it is clear by when the task has to be completed.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/41
2) MVP	Task Management	User Story	Backlog	As a user, I want to view tasks assigned to other members so that I know what others are responsible for.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/42
2) MVP	Task Management	User Story	Backlog	As a user, I want to view all tasks assigned to me in one place so that I can easily manage my responsibilities.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/43
2) MVP	Task Management	User Story	Backlog	As a user, I want tasks with upcoming due dates (deadline or end of current recurrence interval) to be prominently displayed so that I know what to prioritize.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/44
2) MVP	Task Management	User Story	Backlog	As a user, I want to mark tasks as completed so that others are informed about their status.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/45
2) MVP	Task Management	User Story	Backlog	As a user, I want recurring tasks that I have marked as completed to be marked as not completed again in the next recurrence cycle, so that I know that I have to complete this task again.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/46
2) MVP	Task Management	User Story	Backlog	As a user, I want to edit tasks so that I can collaboratively manage them.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/47
2) MVP	Task Management	User Story	Backlog	As a user, I want to delete tasks so that the task list remains clean and relevant.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/48
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to create areas of responsibility (e.g., "House Cleaning", "Groceries") so that the household's responsibilities can be divided efficiently.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/50
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to assign areas of responsibility to members so that everyone knows their roles in the household.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/51
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to see who is assigned to specific areas of responsibility so that it is clear who is accountable for what in the household.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/52
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to edit areas of responsibility so that we can keep the information up to date.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/53
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to delete obsolete areas of responsibility so that the list remains relevant and organized.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/54
3) Post-MVP	Responsibilities in the Household	User Story	Backlog	As a user, I want to be able to tag a *task* with a specific area of responsibility so that it is clear which area of responsibility it falls under	https://github.com/dominikoetiker/TheMentalLoadHub/issues/55
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to create shopping lists that synchronize in real time so that everyone can see updates immediately.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/56
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to create multiple shopping lists for different purposes (e.g., "Groceries", "Party Supplies") so that shopping remains organized.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/57
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to see all shopping lists so that we can collaborate efficiently.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/58
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to add items with quantity, notes and category to lists I create or lists shared with me so that all necessary details are captured.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/59
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to edit shopping list items (e.g., name, quantity, notes category) so that the information remains correct.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/60
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to remove items from my shopping lists so that they remain clean and accurate.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/61
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to categorize items in shopping lists (e.g., "Dairy", "Snacks") so that they are easier to sort.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/62
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to sort shopping list items by category so that they are easier to process in stores.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/63
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to mark a shopping list item as completed once I’ve processed it (e.g., added to my cart) so that it automatically moves to a completed section, letting me clearly distinguish pending items from those already handled.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/64
3) Post-MVP	Shopping Lists	User Story	Backlog	As a user, I want to be able to tag a shopping list with a specific *area of responsibility* so that it is clear which area of responsibility it falls under.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/65
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to create custom lists (e.g. packing lists, household rules, agreements, etc.) with unique names and content so that I can track anything.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/66
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to format custom lists as checklist so that I have a wide range of use cases for these lists.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/67
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to add a quantity to a list item so that I have a wide range of use cases for these lists.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/68
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to add a unit to a list item so that I have a wide range of use cases for these lists.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/69
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to organize list items into three different levels (sub-items) so that I can give the list a reasonable structure.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/70
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to give a title and a brief description to lists so that I can organize them.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/71
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to add items to a custom list so that I can keep track of important details.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/72
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to edit items on a custom list so that the information remains accurate.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/73
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to check off items on a custom checklist so that I can easily see which items I have already processed, keeping my list organized and up to date.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/74
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to be able to tag a custom list with a specific *area of responsibility* so that it is clear which area of responsibility it falls under.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/75
3) Post-MVP	Custom Lists	User Story	Backlog	As a user, I want to remove items from custom lists so that they remain relevant and organized.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/76
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to create projects (e.g., "Summer Road Trip") with goals, descriptions, start date and deadlines so that we can manage complex activities.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/77
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to mark a project as done so that the list of active projects remains up to date.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/87
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to be able to tag a project with a specific *area of responsibility* so that it is clear which area of responsibility it falls under.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/86
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to assign *custom lists* to a project (e.g. as a vacation packing list) so that the project can be managed in multiple ways.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/85
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to assign a *shopping list* to a project so that it is clear what needs to be purchased specifically for a project.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/84
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to assign project *tasks* to household members so that everyone knows what to do.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/83
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to assign project roles to household members so that everyone knows their responsibilities.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/82
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to break projects into smaller *tasks* (non-recurring task) so that they are easier to manage.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/81
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to update project goals, descriptions, and deadlines so that we can keep projects current.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/80
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to be able to filter projects by state, deadlines, etc. so that I find what I am looking for more easily.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/79
3) Post-MVP	Project Management	User Story	Backlog	As a user, I want to see details of all projects, so that I know, what's going on.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/78
3) Post-MVP	Kanban Board	User Story	Backlog	As a user, I want to view tasks on a Kanban board with columns for "Backlog," "To Do," "In Progress," and "Done" so that I can track their progress visually.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/88
3) Post-MVP	Kanban Board	User Story	Backlog	As a user, I want to view project-specific tasks on a dedicated Kanban board so that I can easily track the project's progress.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/89
3) Post-MVP	Kanban Board	User Story	Backlog	As a user, I want to drag and drop tasks on the Kanban board to easily update their status.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/90
3) Post-MVP	Auto Completion	User Story	Backlog	As a user, I want to see auto-completion suggestions for shopping list items and categories based on earlier used shopping list items so that adding items is quicker and easier.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/91
3) Post-MVP	Auto Completion	User Story	Backlog	As a user, I want to see auto-completion suggestions for custom list items based on earlier used custom list items so that adding items is quicker and easier.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/92
3) Post-MVP	Mobile App	User Story	Backlog	As a mobile user, I want to be able to install a mobile app so that I can use the app natively on my phone.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/93
3) Post-MVP	Mobile App	User Story	Backlog	As a mobile user, I want the app to work offline so that I can access data without an internet connection.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/94
3) Post-MVP	Mobile App	User Story	Backlog	As a mobile user, I want a lightweight version of the app optimized for mobile performance so that it consumes less battery and data.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/95
3) Post-MVP	Reminders and Notificatoins	User Story	Backlog	As a user, I want to receive push notifications for important events (e.g., task deadlines, project updates) so that I stay informed even when not using the app.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/96
3) Post-MVP	Reminders and Notificatoins	User Story	Backlog	As a user, I want to set reminders for upcoming tasks with customizable times so that I don’t miss important deadlines.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/97
3) Post-MVP	Reminders and Notificatoins	User Story	Backlog	As a user, I want to fine-tune the events triggering notifications (e.g., task deadlines, project updates) so that I only receive relevant alerts.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/98
3) Post-MVP	Reminders and Notificatoins	User Story	Backlog	As a user, I want to snooze notifications for a set or custom period so that I can address them later.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/99
3) Post-MVP	Localization and Internationalization	User Story	Backlog	As a user, I want the app to support multiple languages so that I can use it in my preferred language.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/100
3) Post-MVP	Localization and Internationalization	User Story	Backlog	As a user, I want the app to adapt automatically to my device's regional settings (e.g., date formats) so that the experience feels native.	https://github.com/dominikoetiker/TheMentalLoadHub/issues/101
